Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,BUSD-USD,ADA-USD,DOGE-USD,MATIC-USD,Total Crypto Volume,FTSE 100 Volume
2022-03-28,36362175703,20620450770,86217871591,2128699500,4736107595,3205464277,6044972360,2304056098,1476875507,856594012,163953267413,775526800.0
2022-03-29,31397059069,19533323636,80447404974,1987696098,4605087735,2120020042,5775301043,1761798381,961074557,839051724,149427817259,1172893900.0
2022-03-30,29333883962,15302506131,79713341087,2181737151,4294916739,1832671641,5809143325,1424442312,884305263,826807407,141603755018,1036020900.0
2022-03-31,33327427106,17685495686,90489848043,2632534284,4965559497,2611691934,6782582380,1745903089,1055136949,958791018,162254969986,925410900.0
2022-04-01,38162644287,20982988937,92250507858,2718206274,4910693133,2091887103,7223143041,1687785845,877530017,895563591,171800950086,811395500.0
2022-04-02,29336594194,23571556215,79916606735,2272901729,4174919496,1624227101,5895317593,1224117012,682408266,749914594,149448562935,
2022-04-03,25414397610,15333808649,67183096448,2128734028,3383196459,1348476817,4953967845,976725814,1047399132,595925446,122365728248,
2022-04-04,32499785455,18209969743,79820905659,2248856403,4217884092,1876069127,5918920482,2447778820,2253509569,661924401,150155603751,837403600.0
2022-04-05,29640604055,16681503199,71594982811,2268650039,3993328112,1548706718,5416144144,1188106135,5230288678,568845904,138131159795,1212100600.0
2022-04-06,39393395788,25632563639,92098510461,2323241738,5849605363,2527126540,6214875386,1710318316,3729047979,867123003,180345808213,1102885900.0
2022-04-07,26101973106,16745496605,61906251582,2125042415,3809231231,1628783831,4565404259,1139697598,1420790611,596685968,120039357206,1153908000.0
2022-04-08,27215995394,17557050669,64297486911,1951923760,3965817036,1684019539,4417706795,926095649,1683800631,552171258,124252067642,919254100.0
2022-04-09,16050772496,9908112156,40069848333,1399108286,2269317026,1008306245,2916229857,640896639,523997409,378660128,75165248575,
2022-04-10,17654475582,10427054790,43341611560,1410282903,2315716300,1046936968,3126220469,626332866,1931829669,340128592,82220589699,
2022-04-11,33949912166,21891804831,73914574528,2192782724,5102389285,2367700413,5047412231,1398303911,1515679359,668911504,148049470952,835767000.0
2022-04-12,30991500854,20235707410,68489224153,2140526232,4605505010,1990027592,4796880096,1076130201,1214105682,805426805,136345034035,772543400.0
2022-04-13,27691105228,16088473629,57894656914,1932053164,3725782044,1678860044,6057649189,791702878,890728707,616413598,117367425395,742706800.0
2022-04-14,24342001973,15821419931,52908937427,1615484732,3957318706,1716488200,3712652655,812010499,1759067761,601697104,107247078988,1005764400.0
2022-04-15,21756855753,11256651536,42988969647,1242920077,3220618832,2897060464,2705008680,574655010,1140382087,407765536,88190887622,
